revenue_id,order_id,payment_date,amount_paid_usd,payment_status,refund_amount_usd
STA-R16841,STA-O8696,08-07-2025,23.85,Paid,0
STA-R9106,STA-O8928,11-03-2023,4.54,Refunded,0
STA-R17013,STA-O7504,27-08-2025,24.68,Paid,0
STA-R14185,STA-O11711,30-06-2024,17.31,Paid,0
STA-R17836,STA-O11828,15-08-2024,114.6,Paid,0
STA-R9785,STA-O9234,17-11-2023,9.72,Paid,0
STA-R18504,STA-O10197,01-03-2024,12.84,Paid,0
STA-R15194,STA-O14401,13-02-2023,5.23,Paid,5.23
STA-R15177,STA-O8017,25-03-2025,29.7,Paid,29.7
STA-R15568,STA-O10889,29-11-2023,8.09,Paid,0
STA-R15181,STA-O9607,09-02-2025,104.4,Paid,104.4
STA-R13003,STA-O6676,14-04-2025,98.64,Paid,0
STA-R12220,STA-O12227,19-07-2025,28.72,Paid,0
STA-R16812,STA-O5662,20-07-2023,14.14,Paid,0
STA-R11244,STA-O10648,25-04-2025,15.3,Paid,0
STA-R18415,STA-O5070,10-07-2023,21.76,Paid,0
STA-R17765,STA-O10047,13-02-2024,29.45,Refunded,0
STA-R13118,STA-O10929,22-01-2025,36.2,Paid,36.2
STA-R14254,STA-O14993,28-09-2025,11.25,Refunded,0
STA-R12159,STA-O9540,28-12-2025,22.36,Paid,0
STA-R17920,STA-O11672,10-09-2024,5.01,Paid,0
STA-R11849,STA-O7275,05-10-2024,50.92,Paid,0
STA-R16801,STA-O6981,21-06-2023,26.9,Paid,0
STA-R16751,STA-O7629,19-04-2023,36.33,Pending,7.3
STA-R11474,STA-O11557,09-04-2023,7.74,Paid,0
STA-R12129,STA-O13062,10-11-2023,38.95,Paid,0
STA-R18630,STA-O5862,05-12-2023,31.99,Paid,0
STA-R14362,STA-O6832,16-10-2025,13.84,Paid,0
STA-R10599,STA-O5130,20-08-2024,13.8,Refunded,0
STA-R10650,STA-O5980,07-04-2025,3.84,Refunded,0
STA-R14862,STA-O12598,19-05-2023,192.6,Paid,0
STA-R10444,STA-O8449,08-08-2023,29.1,Paid,0
STA-R18327,STA-O11953,16-08-2025,31.15,Paid,0
STA-R9140,STA-O5741,23-01-2023,32.58,Refunded,0
STA-R15926,STA-O14083,13-04-2023,35.68,Refunded,0
STA-R9958,STA-O8700,30-07-2023,14.46,Paid,14.46
STA-R13763,STA-O14430,02-06-2023,9.68,Paid,9.68
STA-R10048,STA-O14925,02-12-2025,16.74,Paid,16.74
STA-R9530,STA-O12116,05-03-2025,24.04,Refunded,0
STA-R16622,STA-O10400,01-02-2025,107.4,Refunded,0
STA-R12086,STA-O9840,06-07-2025,48.64,Paid,0
STA-R14762,STA-O6395,07-11-2025,2.49,Paid,0
STA-R13742,STA-O14888,01-02-2024,0,Paid,0
STA-R18269,STA-O12809,26-04-2023,15.84,Paid,0
STA-R15602,STA-O8819,21-08-2023,97.35,Paid,97.35
STA-R18451,STA-O14300,22-01-2025,35.4,Paid,0
STA-R10890,STA-O10470,17-10-2025,43.4,Paid,21.14
STA-R17841,STA-O13490,09-10-2024,15.75,Paid,0
STA-R18190,STA-O13228,10-03-2024,24.93,Refunded,0
STA-R13624,STA-O8222,12-09-2023,29.68,Paid,29.68
STA-R11482,STA-O13411,02-10-2024,8.46,Paid,8.46
STA-R12525,STA-O6072,22-07-2025,77.24,Paid,0
STA-R11534,STA-O12712,21-02-2024,36.39,Pending,0
STA-R12895,STA-O13266,06-10-2023,98.72,Paid,0
STA-R17728,STA-O12891,14-04-2025,20.64,Paid,0
STA-R12293,STA-O13497,25-07-2023,13.58,Refunded,0
STA-R17326,STA-O14338,09-06-2023,7.12,Paid,0
STA-R11956,STA-O6998,19-09-2024,20.1,Paid,20.1
STA-R12196,STA-O10710,03-11-2023,20.52,Paid,20.52
STA-R11167,STA-O8550,08-02-2025,3.54,Paid,0
STA-R18296,STA-O11331,06-04-2024,7.09,Paid,0
STA-R14913,STA-O14605,16-09-2025,0,Paid,0
STA-R13790,STA-O11173,26-05-2025,6.16,Paid,0
STA-R11273,STA-O6870,10-02-2023,28.8,Paid,0
STA-R10776,STA-O14558,12-07-2025,5.56,Paid,0
STA-R15594,STA-O9482,02-10-2023,5.64,Paid,0
STA-R14388,STA-O8888,26-02-2025,4.64,Paid,0
STA-R11391,STA-O7682,24-11-2025,7.16,Paid,0
STA-R10436,STA-O10180,06-08-2025,42.4,Paid,0
STA-R17890,STA-O13914,08-01-2025,23.44,Paid,0
STA-R18266,STA-O6883,29-01-2025,13.28,Pending,0
STA-R15619,STA-O6162,09-06-2025,23.05,Paid,23.05
STA-R13316,STA-O10718,11-11-2024,17.73,Paid,0
STA-R15523,STA-O8535,22-03-2023,35.02,Paid,35.02
STA-R14504,STA-O8108,28-03-2023,6,Paid,0
STA-R15207,STA-O5123,08-03-2023,21.12,Paid,0
STA-R14887,STA-O12634,10-01-2023,16.41,Paid,0
STA-R10955,STA-O8904,27-11-2024,167.75,Paid,167.75
STA-R11952,STA-O14098,04-03-2024,8.68,Paid,0
STA-R16688,STA-O10922,29-01-2025,22.4,Paid,22.4
STA-R13892,STA-O14739,04-02-2025,51.93,Refunded,0
STA-R10225,STA-O13528,22-08-2025,15.3,Pending,0
STA-R11269,STA-O5878,12-06-2025,17.58,Paid,0
STA-R14967,STA-O9019,10-03-2023,34.88,Paid,0
STA-R11387,STA-O7379,01-04-2023,8.43,Paid,0
STA-R15342,STA-O13274,23-11-2024,39.71,Paid,0
STA-R17114,STA-O6252,11-01-2024,3.49,Paid,0
STA-R12203,STA-O6988,03-12-2023,32.75,Paid,0
STA-R9827,STA-O8347,20-11-2024,13.1,Paid,0
STA-R9160,STA-O14501,07-04-2024,14.95,Paid,0
STA-R18558,STA-O5483,09-03-2024,48.96,Paid,0
STA-R11384,STA-O7508,09-07-2023,16.02,Paid,0
STA-R18320,STA-O7994,01-02-2023,34.35,Paid,0
STA-R13309,STA-O7957,04-10-2025,22.25,Paid,0
STA-R12641,STA-O13735,28-08-2024,21,Paid,0
STA-R14779,STA-O8703,19-11-2025,159.72,Paid,0
STA-R11783,STA-O13460,04-12-2023,70.77,Paid,0
STA-R13304,STA-O14903,28-03-2023,11.95,Refunded,0
STA-R10171,STA-O11596,17-12-2025,17.22,Paid,0
STA-R10541,STA-O10897,03-05-2023,30.84,Paid,30.84
STA-R15865,STA-O14770,28-10-2025,22.29,Paid,0
STA-R14787,STA-O12660,12-09-2024,9.15,Refunded,0
STA-R14251,STA-O10871,05-04-2025,18.88,Paid,0
STA-R18636,STA-O13070,10-02-2023,51.34,Paid,0
STA-R12850,STA-O9799,22-01-2025,18.4,Paid,0
STA-R15371,STA-O14625,10-09-2025,7.92,Paid,0
STA-R10419,STA-O7025,12-02-2024,14.4,Paid,0
STA-R11386,STA-O14270,01-03-2024,6.83,Paid,6.83
STA-R11995,STA-O11349,24-10-2025,40.64,Paid,0
STA-R13238,STA-O5415,20-04-2025,26.45,Paid,0
STA-R10933,STA-O7418,14-03-2024,3.53,Paid,0
STA-R18592,STA-O13422,28-11-2025,4.59,Paid,0
STA-R17895,STA-O14054,16-07-2023,9.12,Paid,0
STA-R9421,STA-O6582,08-09-2025,8.4,Paid,0
STA-R15943,STA-O9699,28-10-2025,17.25,Paid,0
STA-R14965,STA-O5096,13-12-2023,7.72,Paid,0
STA-R17206,STA-O5362,21-10-2025,30.55,Paid,0
STA-R14508,STA-O14221,13-05-2023,43.88,Paid,0
STA-R12727,STA-O13550,15-02-2025,61.3,Pending,0
STA-R12506,STA-O7417,19-09-2025,173.25,Paid,0
STA-R11211,STA-O13477,07-04-2025,60.45,Paid,0
STA-R9943,STA-O5476,17-02-2023,27.44,Paid,0
STA-R9491,STA-O11601,08-02-2025,13.64,Paid,0
STA-R17406,STA-O7328,03-01-2024,17.31,Paid,4.39
STA-R15457,STA-O7221,17-07-2024,17.26,Paid,0
STA-R15340,STA-O12428,15-11-2024,6.4,Paid,0
STA-R15150,STA-O6869,13-02-2025,10.26,Paid,0
STA-R11823,STA-O10881,13-02-2025,24.63,Paid,0
STA-R12058,STA-O6880,09-09-2024,25.35,Refunded,0
STA-R16197,STA-O7263,14-10-2023,21.72,Paid,0
STA-R17858,STA-O12360,29-08-2025,23.59,Paid,0
STA-R17721,STA-O6234,29-09-2024,12.6,Paid,0
STA-R13812,STA-O6607,22-02-2024,35.8,Paid,15.11
STA-R13228,STA-O8464,06-02-2023,7.55,Paid,0
STA-R17897,STA-O7831,22-12-2024,20.55,Paid,0
STA-R16731,STA-O8420,21-04-2024,27.75,Paid,0
STA-R10603,STA-O11924,04-12-2024,31.64,Paid,0
STA-R13755,STA-O13092,19-03-2024,0,Paid,0
STA-R17485,STA-O11792,20-10-2024,32.12,Paid,0
STA-R9965,STA-O12963,21-07-2024,11.82,Paid,0
STA-R16304,STA-O9028,21-02-2023,21.1,Paid,0
STA-R11100,STA-O10898,17-10-2023,31.8,Paid,0
STA-R15353,STA-O5345,21-04-2024,5.48,Paid,0
STA-R15334,STA-O5326,17-03-2024,20.16,Paid,0
STA-R16547,STA-O13007,21-02-2024,11.75,Pending,0
STA-R11187,STA-O5823,19-07-2024,25,Refunded,0
STA-R12468,STA-O7591,03-07-2025,79.02,Paid,0
STA-R15562,STA-O11211,16-02-2025,30.25,Paid,0
STA-R12705,STA-O12239,09-03-2025,18.72,Paid,0
STA-R11440,STA-O9852,21-01-2024,20.88,Refunded,0
STA-R17620,STA-O5248,05-02-2024,0,Paid,0
STA-R17134,STA-O7236,23-02-2024,0,Refunded,0
STA-R11274,STA-O10168,14-03-2023,16.32,Paid,16.32
STA-R17286,STA-O5001,24-05-2025,4.65,Paid,0
STA-R15747,STA-O6363,31-01-2023,18.24,Paid,0
STA-R18492,STA-O6308,24-05-2023,11.2,Pending,0
STA-R16553,STA-O11938,27-06-2023,26.72,Paid,0
STA-R9389,STA-O10745,27-04-2024,20.8,Refunded,0
STA-R14803,STA-O10818,11-10-2025,25.75,Paid,0
STA-R12808,STA-O11542,15-11-2023,16.71,Refunded,0
STA-R16779,STA-O7000,04-01-2023,29.1,Paid,0
STA-R10987,STA-O12778,23-01-2025,14.13,Paid,0
STA-R12046,STA-O12520,11-11-2024,9.32,Refunded,0
STA-R14366,STA-O5998,03-01-2023,5.03,Paid,0
STA-R13383,STA-O8921,08-01-2024,12.92,Paid,4.52
STA-R11183,STA-O6688,17-04-2025,27.55,Paid,0
STA-R9004,STA-O6150,19-12-2025,73.76,Paid,73.76
STA-R9919,STA-O12529,13-07-2025,27.88,Paid,0
STA-R14051,STA-O5021,19-01-2024,123.12,Paid,0
STA-R13005,STA-O9165,07-08-2024,5.1,Pending,0
STA-R18458,STA-O10570,02-06-2025,4.35,Paid,4.35
STA-R11526,STA-O9149,31-08-2023,11.92,Paid,0
STA-R18138,STA-O12655,15-02-2025,14.36,Paid,0
STA-R14426,STA-O9267,08-03-2024,26.6,Paid,0
STA-R12788,STA-O7039,04-02-2024,13.4,Pending,0
STA-R14601,STA-O6448,10-01-2025,27.25,Refunded,0
STA-R12794,STA-O14913,21-04-2023,24.39,Paid,0
STA-R14259,STA-O9645,10-07-2025,96.84,Paid,0
STA-R14356,STA-O7308,25-04-2023,31.3,Paid,0
STA-R14966,STA-O13099,10-10-2023,27.36,Paid,0
STA-R11682,STA-O11060,14-08-2025,50.6,Refunded,0
STA-R13736,STA-O10833,05-02-2024,8.8,Paid,1.97
STA-R15911,STA-O8100,27-06-2023,35.55,Paid,0
STA-R12148,STA-O7413,04-04-2023,0,Paid,0
STA-R11462,STA-O7614,19-08-2023,61.71,Paid,61.71
STA-R10735,STA-O10493,12-12-2023,15.69,Paid,0
STA-R9808,STA-O10712,27-11-2024,21.84,Paid,0
STA-R15700,STA-O11903,07-05-2024,23.01,Paid,0
STA-R14203,STA-O8729,12-10-2023,18.8,Pending,0
STA-R11094,STA-O5636,25-10-2024,21.8,Paid,21.8
STA-R12757,STA-O12873,25-06-2025,25.92,Refunded,0
STA-R17395,STA-O12473,04-01-2024,20.67,Refunded,4.56
STA-R9359,STA-O10880,10-02-2024,4.6,Paid,0
STA-R10347,STA-O5458,20-04-2024,0,Paid,0
STA-R9210,STA-O13482,31-05-2023,20.84,Paid,0
STA-R12906,STA-O11066,30-09-2023,42.6,Paid,0
STA-R13745,STA-O13258,13-10-2025,35.5,Paid,35.5
STA-R14353,STA-O6498,15-04-2025,53.56,Paid,53.56
STA-R15341,STA-O5270,26-07-2023,63.75,Paid,0
STA-R18348,STA-O13286,04-04-2025,46.46,Paid,0
STA-R18487,STA-O7681,07-04-2023,103.05,Paid,0
STA-R15500,STA-O12672,24-01-2024,17.22,Pending,0
STA-R14761,STA-O6995,13-08-2023,20,Paid,20
STA-R9798,STA-O12313,17-12-2025,67.71,Paid,0
STA-R15536,STA-O6932,16-01-2023,13.92,Paid,0
STA-R18581,STA-O7904,18-09-2024,17.14,Refunded,0
STA-R9289,STA-O8876,23-08-2025,19.8,Paid,19.8
STA-R9833,STA-O5224,05-04-2024,13.46,Paid,0
STA-R16995,STA-O11674,07-06-2024,7.7,Refunded,0
STA-R12153,STA-O12046,25-05-2023,5.05,Paid,0
STA-R13368,STA-O9471,30-04-2025,18.96,Paid,0
STA-R16140,STA-O7925,26-08-2024,5.83,Paid,0
STA-R16598,STA-O13183,18-11-2023,17.43,Paid,0
STA-R18551,STA-O6310,10-06-2024,26.64,Paid,0
STA-R11672,STA-O14489,10-05-2023,22,Paid,0
STA-R16584,STA-O13752,11-12-2023,22.59,Paid,0
STA-R10677,STA-O5479,14-06-2025,0,Paid,0
STA-R13561,STA-O12348,09-10-2025,73.95,Paid,0
STA-R16446,STA-O8547,26-10-2024,43.3,Refunded,0
STA-R9522,STA-O8495,09-01-2024,5.19,Paid,0
STA-R11971,STA-O14850,24-07-2025,15.96,Paid,0
STA-R15798,STA-O7248,08-09-2024,21.72,Paid,0
STA-R9390,STA-O7105,12-09-2024,7.3,Refunded,0
STA-R10857,STA-O5124,05-12-2025,9.36,Paid,0
STA-R9907,STA-O8277,05-09-2023,34.75,Paid,0
STA-R13658,STA-O12856,23-04-2023,25.58,Paid,0
STA-R13864,STA-O14086,04-04-2024,25.34,Paid,25.34
STA-R16627,STA-O6992,19-06-2023,0,Paid,0
STA-R13698,STA-O9660,17-01-2023,9.96,Paid,0
STA-R17499,STA-O11319,29-11-2023,7.23,Paid,0
STA-R18077,STA-O5558,13-11-2023,34.4,Paid,0
STA-R16891,STA-O11859,24-03-2024,24.06,Paid,0
STA-R9619,STA-O8162,13-07-2024,24.65,Paid,0
STA-R10871,STA-O8279,20-10-2025,16.35,Paid,0
STA-R12849,STA-O13514,18-11-2025,4.18,Pending,0
STA-R15099,STA-O7692,16-07-2025,16.5,Paid,0
STA-R11358,STA-O5805,05-03-2024,23.55,Paid,23.55
STA-R14711,STA-O12128,03-12-2025,8.02,Refunded,0
STA-R10088,STA-O13792,04-08-2023,26.8,Paid,0
STA-R15348,STA-O13389,25-02-2025,12.84,Paid,0
STA-R13360,STA-O13496,29-08-2024,11.3,Paid,0
STA-R10483,STA-O10056,30-01-2025,6.94,Paid,0
STA-R10788,STA-O14523,25-07-2023,42.52,Paid,0
STA-R17074,STA-O7052,10-04-2025,5.28,Refunded,0
STA-R17818,STA-O10171,29-09-2025,22.95,Paid,0
STA-R12193,STA-O10835,31-07-2023,17.46,Paid,0
STA-R13728,STA-O5433,26-12-2025,14.68,Paid,0
STA-R11869,STA-O10561,20-12-2024,22.82,Pending,0
STA-R9672,STA-O14941,04-04-2023,10.26,Paid,0
STA-R13570,STA-O14045,10-01-2024,0,Paid,0
STA-R10862,STA-O9103,03-08-2025,20.43,Paid,0
STA-R10151,STA-O5513,29-08-2025,35.4,Paid,0
STA-R9456,STA-O10311,24-03-2023,14.28,Paid,14.28
STA-R18371,STA-O11306,17-06-2023,67.35,Pending,0
STA-R12708,STA-O9221,22-01-2023,11.56,Paid,0
STA-R13226,STA-O8665,11-02-2025,6.4,Paid,0
STA-R16117,STA-O7396,07-01-2024,21.83,Paid,0
STA-R11463,STA-O6304,09-08-2023,16.2,Pending,0
STA-R18305,STA-O8177,10-06-2025,35.32,Paid,0
STA-R11768,STA-O11001,03-08-2024,8.54,Paid,0
STA-R13888,STA-O10560,06-04-2023,0,Paid,0
STA-R11779,STA-O12647,04-01-2025,19.08,Paid,0
STA-R16043,STA-O8120,11-07-2025,19.04,Refunded,0
STA-R10676,STA-O9324,13-10-2023,21.33,Refunded,0
STA-R14878,STA-O7414,23-12-2023,42.7,Paid,0
STA-R16148,STA-O14952,10-03-2025,8.1,Paid,0
STA-R9596,STA-O13111,09-04-2025,72.48,Paid,0
STA-R10690,STA-O6133,30-06-2023,0,Paid,0
STA-R15474,STA-O8462,28-05-2025,5.48,Paid,0
STA-R12604,STA-O10264,27-06-2024,10.92,Paid,0
STA-R13816,STA-O13083,23-10-2025,28.76,Refunded,0
STA-R13148,STA-O12973,03-09-2023,43.85,Paid,0
STA-R9407,STA-O13978,15-10-2023,148.52,Paid,0
STA-R14669,STA-O14861,05-10-2023,20.34,Paid,0
STA-R17174,STA-O10360,08-06-2025,16.2,Paid,0
STA-R16976,STA-O14198,22-03-2023,6.82,Refunded,0
STA-R12260,STA-O11431,18-12-2023,13.29,Paid,0
STA-R13284,STA-O13425,13-06-2025,27.55,Pending,0
STA-R15904,STA-O9252,02-10-2023,12.36,Paid,0
STA-R11554,STA-O11105,20-12-2024,31.95,Paid,31.95
STA-R17176,STA-O10946,23-12-2023,75.4,Paid,0
STA-R9922,STA-O11158,07-04-2025,15.06,Paid,0
STA-R17107,STA-O9300,20-10-2025,21.03,Paid,21.03
STA-R14585,STA-O10758,19-12-2023,44.54,Paid,44.54
STA-R16849,STA-O7383,12-03-2024,27.4,Paid,0
STA-R17635,STA-O13747,29-01-2025,111.36,Paid,111.36
STA-R17078,STA-O6002,10-06-2025,9.52,Paid,9.52
STA-R15427,STA-O7419,04-08-2024,8.86,Paid,0
STA-R18358,STA-O14741,22-11-2024,39.2,Refunded,0
STA-R18647,STA-O9999,18-06-2025,166.41,Paid,0
STA-R18435,STA-O12935,16-06-2023,76.05,Pending,0
STA-R13163,STA-O6784,03-12-2025,14.04,Paid,0
STA-R10591,STA-O12190,18-09-2024,12.25,Paid,0
STA-R15442,STA-O13776,14-07-2025,8.82,Paid,0
STA-R10202,STA-O6439,07-02-2023,29.96,Paid,0
STA-R15129,STA-O11252,18-07-2024,6.7,Paid,0
STA-R15468,STA-O7457,22-06-2024,39.91,Paid,0
STA-R10479,STA-O11734,28-06-2024,0,Refunded,0
STA-R13616,STA-O6029,22-03-2025,21.44,Refunded,0
STA-R17875,STA-O6733,05-11-2024,140.52,Paid,0
STA-R12651,STA-O13313,03-05-2023,8.06,Refunded,0
STA-R12595,STA-O13289,31-01-2023,6.58,Refunded,0
STA-R17776,STA-O13008,17-09-2024,0,Paid,0
STA-R10279,STA-O9827,25-08-2023,38.07,Pending,0
STA-R12396,STA-O6327,03-12-2023,21.64,Paid,0
STA-R16045,STA-O11707,26-04-2024,23.7,Paid,23.7
STA-R13422,STA-O11942,05-07-2023,5.04,Refunded,0
STA-R11805,STA-O11048,07-11-2024,8.08,Paid,0
STA-R18338,STA-O8543,05-11-2023,37.9,Paid,0
STA-R14976,STA-O12537,21-09-2023,3.55,Paid,0
STA-R13291,STA-O9347,19-04-2025,20.76,Paid,0
STA-R17037,STA-O8448,28-08-2023,23.73,Pending,0
STA-R10664,STA-O11567,17-05-2024,27.72,Pending,0
STA-R14341,STA-O5916,01-09-2024,14.04,Paid,0
STA-R13891,STA-O13296,09-08-2025,13.12,Paid,0
STA-R16400,STA-O10136,27-01-2023,5.13,Paid,0
STA-R12109,STA-O5358,06-10-2024,0,Paid,0
STA-R10178,STA-O14936,08-01-2024,159.05,Paid,0
STA-R13603,STA-O13985,11-05-2024,17.44,Paid,0
STA-R17835,STA-O13723,29-08-2024,17.25,Paid,0
STA-R17236,STA-O8156,03-02-2023,15.81,Pending,0
STA-R15412,STA-O12675,24-12-2024,33.52,Paid,0
STA-R16418,STA-O12979,27-05-2024,8.36,Refunded,0
STA-R14574,STA-O7118,12-05-2024,21.12,Paid,0
STA-R15047,STA-O13018,23-08-2024,19.4,Paid,19.4
STA-R11172,STA-O6912,04-04-2024,24.87,Paid,0
STA-R12901,STA-O11621,15-08-2024,27.3,Pending,0
STA-R18089,STA-O14144,26-03-2023,2.71,Paid,0
STA-R11019,STA-O7260,16-06-2025,26.8,Paid,7.72
STA-R12076,STA-O13397,12-01-2025,23.9,Paid,23.9
STA-R9691,STA-O8907,18-12-2023,25.06,Paid,0
STA-R11071,STA-O10629,12-04-2023,20.6,Paid,20.6
STA-R13434,STA-O7551,20-05-2025,43.35,Paid,0
STA-R13178,STA-O9586,24-06-2024,8.25,Pending,0
STA-R9049,STA-O6398,03-03-2025,99.8,Refunded,0
STA-R14757,STA-O8649,20-11-2023,7.32,Paid,0
STA-R15171,STA-O5032,30-09-2024,3.92,Paid,0
STA-R17753,STA-O6488,04-12-2025,20,Paid,20
STA-R10901,STA-O13940,12-10-2023,11.08,Paid,0
STA-R17245,STA-O7270,21-11-2025,9.52,Paid,0
STA-R9518,STA-O14563,13-03-2025,16.42,Paid,16.42
STA-R18096,STA-O12435,05-11-2025,29.5,Refunded,0
STA-R18244,STA-O10296,23-12-2023,4.7,Pending,0
STA-R14809,STA-O14841,27-01-2025,13.54,Paid,0
STA-R15461,STA-O13309,03-03-2024,20.24,Paid,20.24
STA-R16696,STA-O7069,12-01-2024,21.36,Paid,0
STA-R13207,STA-O12624,22-11-2023,5.82,Paid,0
STA-R14126,STA-O7879,14-07-2024,17.15,Paid,0
STA-R16550,STA-O10322,27-03-2024,82,Paid,0
STA-R12513,STA-O8368,22-09-2024,13.38,Refunded,0
STA-R17972,STA-O14754,16-12-2023,13.35,Paid,0
STA-R12609,STA-O9325,01-11-2025,37.12,Paid,0
STA-R15101,STA-O11511,02-08-2023,6.2,Paid,0
STA-R14284,STA-O5100,18-12-2024,21.2,Paid,0
STA-R11981,STA-O13370,14-04-2025,44.55,Paid,0
STA-R10569,STA-O9510,11-09-2025,6.36,Paid,0
STA-R9781,STA-O8861,31-05-2024,23.25,Paid,0
STA-R17782,STA-O14891,06-03-2025,98.68,Paid,0
STA-R10219,STA-O11328,25-05-2023,12.15,Paid,2.41
STA-R15685,STA-O10457,19-02-2025,67.64,Paid,0
STA-R10819,STA-O14551,19-10-2025,7.38,Paid,0
STA-R16893,STA-O14967,27-12-2025,22.28,Paid,0
STA-R14563,STA-O8255,06-06-2023,16.74,Paid,0
STA-R11028,STA-O10849,28-10-2024,6.85,Refunded,0
STA-R9230,STA-O12162,01-07-2025,6.28,Paid,0
STA-R18038,STA-O14226,01-03-2024,71.97,Refunded,0
STA-R16943,STA-O8207,13-12-2024,14.43,Paid,0
STA-R18291,STA-O7003,04-09-2024,138.96,Paid,0
STA-R15463,STA-O11971,14-04-2024,4.9,Paid,0
STA-R15531,STA-O13413,28-07-2024,25.15,Paid,0
STA-R16367,STA-O13005,06-11-2025,79.6,Paid,0
STA-R13880,STA-O6202,13-07-2023,6.59,Paid,0
STA-R17249,STA-O10184,09-09-2025,38.25,Paid,0
STA-R10645,STA-O11603,13-07-2025,6.75,Paid,0
STA-R14390,STA-O13433,02-07-2024,13.8,Refunded,0
STA-R11908,STA-O11680,03-01-2023,4.72,Paid,0
STA-R18263,STA-O6419,27-06-2024,39.27,Paid,0
STA-R16957,STA-O5593,06-10-2024,22.88,Paid,0
STA-R10488,STA-O12562,25-02-2025,9.21,Paid,0
STA-R12883,STA-O10284,08-01-2023,24.27,Paid,0
STA-R9786,STA-O5322,06-03-2023,53.67,Refunded,0
STA-R12783,STA-O7244,30-08-2025,4.88,Paid,4.88
STA-R15076,STA-O8068,17-06-2023,32.68,Refunded,0
STA-R17882,STA-O8254,29-08-2023,24.48,Paid,6.86
STA-R14919,STA-O7649,27-04-2024,11.86,Paid,11.86
STA-R11459,STA-O9575,15-02-2024,30.72,Paid,0
STA-R18546,STA-O5631,25-05-2023,7.84,Paid,7.84
STA-R9232,STA-O7710,27-01-2024,24,Paid,11.49
STA-R14990,STA-O10316,20-09-2023,17.4,Paid,0
STA-R9758,STA-O14881,31-03-2023,19.68,Paid,0
STA-R18460,STA-O5083,22-11-2024,10.32,Paid,0
STA-R16333,STA-O8660,04-02-2024,10.5,Refunded,0
STA-R12961,STA-O13851,01-03-2024,9.78,Paid,0
STA-R11210,STA-O10939,24-04-2023,15.26,Refunded,0
STA-R9626,STA-O11244,13-09-2023,13.16,Paid,0
STA-R11656,STA-O5477,18-09-2023,24.31,Paid,0
STA-R9278,STA-O13647,17-01-2024,9.01,Paid,0
STA-R15912,STA-O8094,04-09-2025,25.82,Paid,0
STA-R12566,STA-O11937,29-06-2025,38.7,Paid,0
STA-R13674,STA-O7495,31-07-2023,30.85,Paid,0
STA-R11740,STA-O11976,10-07-2023,12.46,Paid,0
STA-R13980,STA-O13392,28-09-2025,39.28,Paid,0
STA-R11023,STA-O7213,05-10-2025,3.31,Paid,0
STA-R11520,STA-O10351,25-05-2023,0,Paid,0
STA-R13829,STA-O5772,11-01-2023,26.16,Paid,0
STA-R13954,STA-O8667,29-11-2024,157.28,Paid,157.28
STA-R12102,STA-O10084,06-09-2025,16.45,Paid,0
STA-R10058,STA-O6407,03-06-2023,8.92,Refunded,0
STA-R17541,STA-O7362,19-08-2023,58.48,Refunded,0
