order_id,customer_id,order_date,product_category,quantity,unit_price_usd,order_status,payment_method
STA-O14774,STA-C2044,30-06-2023,Bakery,2,3.46,Cancelled,Credit Card
STA-O7790,STA-C1854,03-01-2023,Frappuccino,5,6.26,Cancelled,Credit Card
STA-O7035,STA-C2304,22-07-2024,Merchandise,2,36.16,Shipped,Mobile App
STA-O7236,STA-C5134,23-02-2024,Frappuccino,1,7.82,Cancelled,Cash
STA-O9108,STA-C3031,15-11-2024,Frappuccino,1,7.37,Returned,Credit Card
STA-O7878,STA-C5745,16-02-2025,Coffee Beans (Retail),3,24.6,Returned,Cash
STA-O11275,STA-C3653,05-06-2023,Hot Coffee,1,5.39,Returned,Cash
STA-O6414,STA-C8305,29-03-2024,Merchandise,5,23.13,Delivered,Mobile App
STA-O14164,STA-C10870,15-12-2023,Frappuccino,5,5.79,Delivered,Starbucks Card
STA-O14912,STA-C6373,08-02-2024,Frappuccino,1,5.24,Cancelled,Credit Card
STA-O5532,STA-C8911,04-02-2024,Tea,1,5.58,Delivered,Cash
STA-O11456,STA-C6094,10-06-2024,Cold Coffee,4,7.3,Delivered,Starbucks Card
STA-O7929,STA-C4560,02-07-2023,Hot Coffee,1,3.5,Delivered,Starbucks Card
STA-O11312,STA-C1373,26-10-2023,Coffee Beans (Retail),3,11.39,Pending,Starbucks Card
STA-O5267,STA-C5442,24-01-2023,Merchandise,2,22.16,Delivered,Starbucks Card
STA-O9269,STA-C1792,25-01-2023,Sandwiches,4,6.27,Delivered,Mobile App
STA-O11615,STA-C3357,24-08-2025,Tea,5,5.14,Shipped,Credit Card
STA-O6248,STA-C9386,06-08-2023,Bakery,1,5.97,Returned,Starbucks Card
STA-O10124,STA-C5947,22-12-2025,Hot Coffee,3,6.32,Shipped,Starbucks Card
STA-O8183,STA-C6325,10-03-2025,Frappuccino,3,6.88,Returned,Credit Card
STA-O14996,STA-C1519,04-05-2023,Merchandise,1,8.35,Shipped,Mobile App
STA-O11972,STA-C3350,24-01-2024,Sandwiches,4,8.29,Pending,Starbucks Card
STA-O11904,STA-C10802,01-11-2024,Hot Coffee,5,3.47,Unknown,Starbucks Card
STA-O13991,STA-C9554,30-06-2023,Cold Coffee,2,7.87,Unknown,Mobile App
STA-O9362,STA-C4701,05-01-2023,Coffee Beans (Retail),3,12.2,Shipped,Cash
STA-O12556,STA-C9895,25-08-2025,Cold Coffee,3,5.57,Returned,Starbucks Card
STA-O12468,STA-C2783,22-03-2025,Merchandise,5,36.36,Cancelled,Cash
STA-O6398,STA-C2399,03-03-2025,Coffee Beans (Retail),4,24.95,Cancelled,Cash
STA-O8850,STA-C8547,17-08-2024,Cold Coffee,4,5.8,Shipped,Starbucks Card
STA-O12266,STA-C3004,15-04-2024,Cold Coffee,2,7.87,Pending,Starbucks Card
STA-O9169,STA-C9920,16-05-2023,Cold Coffee,1,6.27,Pending,Credit Card
STA-O9744,STA-C1033,05-07-2025,Coffee Beans (Retail),1,22.3,Delivered,Cash
STA-O8960,STA-C6492,30-08-2025,Sandwiches,5,7.33,Cancelled,Cash
STA-O14150,STA-C2809,01-09-2023,Tea,2,4.16,Delivered,Mobile App
STA-O7796,STA-C10223,01-08-2024,Sandwiches,4,5.39,Returned,Starbucks Card
STA-O12665,STA-C6986,27-02-2023,Bakery,2,5.99,Shipped,Cash
STA-O5316,STA-C6854,28-10-2025,Coffee Beans (Retail),4,10.49,Delivered,Cash
STA-O13790,STA-C9999,12-04-2025,Tea,4,4.31,Shipped,Mobile App
STA-O12275,STA-C8742,17-10-2024,Coffee Beans (Retail),1,24.98,Returned,Mobile App
STA-O12006,STA-C7518,07-05-2023,Coffee Beans (Retail),4,14.83,Shipped,Cash
STA-O6906,STA-C9709,06-08-2025,Coffee Beans (Retail),2,11.9,Returned,Credit Card
STA-O8329,STA-C4735,14-10-2023,Cold Coffee,1,7.94,Delivered,Cash
STA-O14638,STA-C9596,31-10-2023,Bakery,3,5.19,Cancelled,Cash
STA-O9499,STA-C1091,30-01-2024,Bakery,2,2.61,Pending,Mobile App
STA-O7347,STA-C6568,11-04-2023,Tea,5,5.87,Shipped,Starbucks Card
STA-O10816,STA-C8623,28-09-2025,Tea,2,4.08,Cancelled,Credit Card
STA-O14415,STA-C1131,26-06-2023,Hot Coffee,4,3.14,Returned,Cash
STA-O9091,STA-C9461,21-02-2025,Frappuccino,4,7.19,Delivered,Cash
STA-O5152,STA-C2655,18-12-2024,Sandwiches,1,8.97,Delivered,Mobile App
STA-O8002,STA-C1840,01-05-2024,Merchandise,3,36.83,Delivered,Mobile App
STA-O9395,STA-C3782,18-04-2023,Coffee Beans (Retail),4,18.22,Shipped,Credit Card
STA-O7393,STA-C2106,02-10-2023,Hot Coffee,2,5.94,Shipped,Starbucks Card
STA-O10942,STA-C1660,01-02-2025,Bakery,2,2.49,Delivered,Cash
STA-O10337,STA-C5503,13-08-2025,Merchandise,3,18.65,Pending,Mobile App
STA-O11287,STA-C10681,16-11-2023,Coffee Beans (Retail),4,16.09,Shipped,Cash
STA-O5544,STA-C9169,08-05-2024,Tea,3,3.36,Delivered,Credit Card
STA-O11434,STA-C6315,16-01-2023,Frappuccino,4,7.41,Cancelled,Cash
STA-O13114,STA-C6172,01-05-2025,Frappuccino,1,7.47,Cancelled,Mobile App
STA-O9925,STA-C2440,04-01-2023,Sandwiches,2,5.37,Returned,Mobile App
STA-O13457,STA-C2816,11-02-2025,Coffee Beans (Retail),3,22.47,Pending,Cash
STA-O7722,STA-C3989,14-09-2024,Sandwiches,2,6.89,Pending,Credit Card
STA-O6474,STA-C1474,11-10-2024,Frappuccino,3,7.1,Delivered,Mobile App
STA-O7529,STA-C9325,02-06-2023,Merchandise,2,23.36,Unknown,Cash
STA-O10795,STA-C5062,10-05-2025,Coffee Beans (Retail),4,18.42,Delivered,Credit Card
STA-O11962,STA-C9744,29-04-2025,Cold Coffee,3,5.95,Delivered,Mobile App
STA-O11273,STA-C5964,08-02-2024,Hot Coffee,1,4.97,Delivered,Cash
STA-O11744,STA-C3246,11-01-2024,Hot Coffee,4,5.56,Shipped,Starbucks Card
STA-O13049,STA-C1848,17-06-2024,Sandwiches,2,6.21,Pending,Starbucks Card
STA-O13577,STA-C9606,18-06-2024,Bakery,2,3.63,Returned,Credit Card
STA-O14655,STA-C2095,04-06-2025,Coffee Beans (Retail),4,11.1,Shipped,Mobile App
STA-O8685,STA-C8032,13-11-2024,Tea,4,4.46,Shipped,Starbucks Card
STA-O6489,STA-C2038,15-05-2024,Bakery,5,4.09,Returned,Mobile App
STA-O8059,STA-C8798,25-11-2023,Tea,3,5.89,Returned,Mobile App
STA-O5648,STA-C1784,18-05-2024,Coffee Beans (Retail),2,19.74,Shipped,Credit Card
STA-O11881,STA-C2014,06-12-2024,Frappuccino,5,6.52,Shipped,Starbucks Card
STA-O7479,STA-C7112,02-03-2025,Tea,1,4.9,Cancelled,Mobile App
STA-O7949,STA-C1191,03-04-2024,Merchandise,2,31.98,Shipped,Starbucks Card
STA-O5400,STA-C8390,09-12-2023,Sandwiches,3,8.4,Unknown,Cash
STA-O13310,STA-C2827,01-07-2025,Sandwiches,4,7.27,Delivered,Credit Card
STA-O7780,STA-C9407,18-02-2023,Bakery,4,5.09,Shipped,Starbucks Card
STA-O10484,STA-C7711,28-11-2025,Tea,2,4.8,Returned,Cash
STA-O13944,STA-C3365,14-06-2025,Tea,4,4.96,Returned,Mobile App
STA-O8815,STA-C10552,21-07-2025,Cold Coffee,4,6.6,Returned,Mobile App
STA-O7072,STA-C1504,27-06-2023,Hot Coffee,1,3.86,Delivered,Starbucks Card
STA-O8382,STA-C3044,29-03-2024,Tea,5,3.07,Pending,Credit Card
STA-O5969,STA-C8245,21-12-2023,Cold Coffee,5,4.18,Returned,Mobile App
STA-O13354,STA-C5168,20-05-2023,Coffee Beans (Retail),1,21.34,Shipped,Cash
STA-O5216,STA-C7266,22-03-2024,Sandwiches,5,5.11,Delivered,Mobile App
STA-O12930,STA-C6466,08-09-2024,Bakery,2,3.45,Delivered,Starbucks Card
STA-O8928,STA-C3401,03-11-2023,Tea,1,4.54,Cancelled,Cash
STA-O11227,STA-C8343,07-09-2023,Merchandise,5,31.02,Returned,Credit Card
STA-O12169,STA-C8518,21-09-2023,Merchandise,1,29.04,Delivered,Mobile App
STA-O9361,STA-C5344,26-07-2025,Bakery,5,4.86,Delivered,Cash
STA-O9135,STA-C5725,23-03-2025,Tea,3,3.16,Shipped,Cash
STA-O7506,STA-C10508,22-09-2023,Bakery,2,3.09,Shipped,Mobile App
STA-O12732,STA-C5446,24-07-2025,Tea,1,5.09,Shipped,Starbucks Card
STA-O10249,STA-C5724,14-01-2024,Hot Coffee,2,6.48,Returned,Cash
STA-O9790,STA-C4187,11-12-2024,Bakery,2,2.65,Shipped,Credit Card
STA-O13705,STA-C3769,21-10-2025,Hot Coffee,4,3.76,Delivered,Credit Card
STA-O14802,STA-C2706,06-08-2023,Cold Coffee,4,5.44,Delivered,Credit Card
STA-O8489,STA-C6815,15-12-2023,Tea,2,3.22,Returned,Credit Card
STA-O13189,STA-C1259,26-04-2025,Hot Coffee,3,6.99,Returned,Mobile App
STA-O11341,STA-C8248,22-12-2023,Coffee Beans (Retail),1,17.38,Pending,Cash
STA-O8558,STA-C9119,21-06-2024,Bakery,5,4.82,Delivered,Cash
STA-O6663,STA-C8324,25-07-2024,Bakery,4,4.99,Delivered,Credit Card
STA-O13670,STA-C10769,18-07-2025,Bakery,4,4.45,Delivered,Mobile App
STA-O13374,STA-C6404,12-05-2025,Bakery,3,5.38,Cancelled,Credit Card
STA-O5031,STA-C1819,31-08-2024,Bakery,4,4.65,Delivered,Cash
STA-O11193,STA-C10017,06-10-2025,Merchandise,5,25.17,Pending,Credit Card
STA-O6867,STA-C7336,11-06-2025,Frappuccino,2,8.93,Cancelled,Starbucks Card
STA-O14775,STA-C5213,03-08-2024,Coffee Beans (Retail),4,12.76,Returned,Mobile App
STA-O5894,STA-C9352,12-02-2023,Hot Coffee,3,4.07,Cancelled,Credit Card
STA-O14344,STA-C7350,25-01-2025,Cold Coffee,1,7.8,Pending,Cash
STA-O8490,STA-C2204,26-10-2025,Coffee Beans (Retail),4,13.65,Pending,Starbucks Card
STA-O6949,STA-C1245,31-12-2023,Tea,2,4.35,Cancelled,Cash
STA-O5975,STA-C6483,11-09-2023,Tea,4,3.56,Delivered,Starbucks Card
STA-O5399,STA-C10380,16-06-2024,Tea,5,5.98,Delivered,Mobile App
STA-O10764,STA-C8725,12-12-2024,Bakery,4,5.89,Pending,Cash
STA-O7011,STA-C1945,04-09-2025,Tea,5,5.19,Returned,Cash
STA-O13489,STA-C2898,12-02-2024,Coffee Beans (Retail),4,16.47,Delivered,Starbucks Card
STA-O14252,STA-C10889,14-06-2023,Frappuccino,5,8.32,Cancelled,Mobile App
STA-O6225,STA-C6387,19-04-2024,Hot Coffee,2,5.11,Shipped,Starbucks Card
STA-O8782,STA-C2229,01-03-2024,Merchandise,4,37.71,Delivered,Credit Card
STA-O5741,STA-C9260,23-01-2023,Coffee Beans (Retail),3,10.86,Cancelled,Mobile App
STA-O10014,STA-C4557,13-12-2024,Cold Coffee,3,5.77,Cancelled,Cash
STA-O6682,STA-C5334,04-09-2024,Frappuccino,1,6.08,Delivered,Mobile App
STA-O6467,STA-C10074,04-05-2024,Frappuccino,1,6.23,Returned,Cash
STA-O13961,STA-C5499,17-01-2024,Hot Coffee,5,3.38,Pending,Cash
STA-O14095,STA-C1487,17-03-2025,Frappuccino,5,7.26,Returned,Cash
STA-O6335,STA-C8236,22-12-2025,Frappuccino,1,5.61,Delivered,Starbucks Card
STA-O14464,STA-C2556,05-09-2024,Sandwiches,5,8.64,Delivered,Credit Card
STA-O6195,STA-C7429,30-11-2024,Frappuccino,1,7.03,Delivered,Starbucks Card
STA-O10192,STA-C2886,20-08-2023,Merchandise,4,35.23,Delivered,Mobile App
STA-O14395,STA-C9810,30-03-2023,Bakery,1,3.07,Delivered,Cash
STA-O7861,STA-C4044,26-05-2024,Bakery,1,2.3,Pending,Cash
STA-O11871,STA-C6423,25-04-2025,Sandwiches,5,5.53,Delivered,Mobile App
STA-O13430,STA-C4738,22-04-2025,Sandwiches,2,6.18,Shipped,Mobile App
STA-O10062,STA-C1010,14-08-2023,Tea,2,3.72,Returned,Cash
STA-O14116,STA-C10964,02-07-2025,Tea,1,5.97,Returned,Cash
STA-O11737,STA-C8396,21-06-2023,Hot Coffee,2,6.42,Delivered,Starbucks Card
STA-O7295,STA-C3296,12-10-2025,Sandwiches,4,6.69,Pending,Starbucks Card
STA-O6745,STA-C7749,31-01-2025,Coffee Beans (Retail),4,13.61,Shipped,Credit Card
STA-O12754,STA-C1277,19-06-2023,Cold Coffee,3,6.58,Cancelled,Cash
STA-O10801,STA-C10229,30-01-2024,Frappuccino,1,7.42,Delivered,Cash
STA-O14501,STA-C10224,04-07-2024,Bakery,5,2.99,Delivered,Starbucks Card
STA-O8844,STA-C2983,25-11-2025,Frappuccino,5,8.33,Delivered,Starbucks Card
STA-O8778,STA-C6814,02-03-2023,Coffee Beans (Retail),4,22.77,Delivered,Cash
STA-O14795,STA-C2906,20-11-2024,Coffee Beans (Retail),2,13.91,Unknown,Mobile App
STA-O5344,STA-C1247,11-04-2024,Tea,2,5.58,Delivered,Cash
STA-O8374,STA-C7279,29-01-2024,Sandwiches,1,6.84,Returned,Credit Card
STA-O8679,STA-C5908,16-04-2025,Frappuccino,4,6.11,Returned,Mobile App
STA-O13205,STA-C4606,13-05-2025,Frappuccino,4,7.17,Delivered,Cash
STA-O11005,STA-C7974,24-09-2024,Tea,2,5.14,Delivered,Mobile App
STA-O12251,STA-C1705,02-06-2023,Tea,4,5.93,Returned,Credit Card
STA-O8964,STA-C6609,05-11-2025,Cold Coffee,3,4.62,Delivered,Starbucks Card
STA-O14167,STA-C1033,02-12-2025,Sandwiches,1,8.73,Delivered,Starbucks Card
STA-O8229,STA-C3461,10-08-2023,Cold Coffee,5,4.18,Pending,Credit Card
STA-O11693,STA-C2441,15-09-2023,Sandwiches,3,7.76,Cancelled,Cash
STA-O11778,STA-C10040,03-01-2025,Merchandise,1,12.23,Delivered,Cash
STA-O13637,STA-C10350,19-07-2023,Coffee Beans (Retail),5,11.48,Shipped,Cash
STA-O5155,STA-C4729,11-10-2024,Frappuccino,5,6.61,Delivered,Cash
STA-O6300,STA-C3386,29-08-2024,Merchandise,5,19.26,Cancelled,Mobile App
STA-O5586,STA-C4930,02-02-2025,Bakery,3,5.43,Delivered,Cash
STA-O6672,STA-C6501,13-11-2025,Sandwiches,3,6.79,Delivered,Cash
STA-O11825,STA-C10372,03-01-2025,Bakery,2,4.19,Delivered,Cash
STA-O13421,STA-C3641,27-10-2024,Bakery,3,4.71,Delivered,Cash
STA-O10468,STA-C9190,31-05-2024,Sandwiches,2,6.26,Delivered,Credit Card
STA-O13564,STA-C7184,24-12-2023,Bakery,5,5.36,Shipped,Starbucks Card
STA-O8318,STA-C1681,13-08-2024,Hot Coffee,4,6.72,Delivered,Starbucks Card
STA-O10675,STA-C9058,06-10-2023,Bakery,2,5.67,Delivered,Cash
STA-O11489,STA-C3119,24-04-2023,Coffee Beans (Retail),3,10.01,Delivered,Credit Card
STA-O8428,STA-C1702,04-06-2024,Frappuccino,2,5.64,Delivered,Starbucks Card
STA-O7400,STA-C10326,08-12-2024,Frappuccino,4,7.98,Delivered,Starbucks Card
STA-O14710,STA-C5891,31-08-2023,Frappuccino,5,7.02,Cancelled,Starbucks Card
STA-O12425,STA-C6128,04-12-2025,Cold Coffee,1,5.1,Delivered,Credit Card
STA-O5611,STA-C5033,17-01-2024,Bakery,2,2.09,Pending,Cash
STA-O9494,STA-C10755,04-12-2023,Tea,2,5.03,Pending,Starbucks Card
STA-O12257,STA-C2169,29-06-2025,Merchandise,3,15.85,Delivered,Cash
STA-O9156,STA-C4563,03-01-2025,Merchandise,2,22.33,Returned,Starbucks Card
STA-O13241,STA-C3628,24-08-2025,Cold Coffee,4,6.86,Delivered,Mobile App
STA-O8873,STA-C2285,15-12-2025,Tea,2,5.72,Delivered,Cash
STA-O10707,STA-C4408,12-05-2025,Merchandise,1,9.66,Pending,Mobile App
STA-O10219,STA-C8872,03-07-2023,Sandwiches,4,8.91,Delivered,Credit Card
STA-O6659,STA-C5223,13-07-2024,Sandwiches,2,8.59,Returned,Cash
STA-O9194,STA-C3787,08-08-2024,Merchandise,1,15.24,Pending,Cash
STA-O7985,STA-C7944,18-10-2024,Coffee Beans (Retail),1,22.18,Pending,Starbucks Card
STA-O6812,STA-C8574,03-04-2025,Tea,4,4.26,Returned,Cash
STA-O9989,STA-C7446,22-05-2023,Cold Coffee,2,7.04,Delivered,Credit Card
STA-O7078,STA-C1431,23-09-2023,Frappuccino,4,6.63,Delivered,Cash
STA-O13195,STA-C8919,25-04-2024,Bakery,4,3.22,Pending,Starbucks Card
STA-O10566,STA-C9443,09-08-2024,Sandwiches,5,6.18,Delivered,Cash
STA-O10772,STA-C4613,23-11-2023,Bakery,2,2.54,Returned,Cash
STA-O7719,STA-C9959,07-01-2025,Frappuccino,2,5.11,Returned,Cash
STA-O9585,STA-C2184,27-11-2024,Frappuccino,5,8.99,Returned,Credit Card
STA-O10320,STA-C6268,26-01-2024,Frappuccino,5,5.73,Returned,Cash
STA-O14938,STA-C9534,22-06-2025,Cold Coffee,5,4.84,Delivered,Mobile App
STA-O6380,STA-C1944,15-12-2024,Cold Coffee,4,5.66,Delivered,Mobile App
STA-O6645,STA-C6680,22-01-2023,Hot Coffee,2,4.39,Delivered,Mobile App
STA-O13482,STA-C7968,31-05-2023,Tea,4,5.21,Unknown,Starbucks Card
STA-O7139,STA-C4640,26-12-2024,Merchandise,1,21.16,Delivered,Credit Card
STA-O11375,STA-C8275,26-11-2025,Tea,2,4.78,Delivered,Cash
STA-O10205,STA-C2859,27-03-2025,Sandwiches,1,5.62,Delivered,Starbucks Card
STA-O10355,STA-C10289,13-07-2023,Hot Coffee,1,3.27,Unknown,Credit Card
STA-O6499,STA-C2742,19-09-2024,Frappuccino,1,8.96,Shipped,Cash
STA-O6692,STA-C2118,19-08-2025,Sandwiches,3,8.15,Cancelled,Credit Card
STA-O13259,STA-C6499,02-08-2025,Hot Coffee,3,6.41,Pending,Starbucks Card
STA-O7737,STA-C6197,23-04-2023,Sandwiches,1,8.48,Returned,Mobile App
STA-O12335,STA-C1095,20-03-2024,Frappuccino,3,5.07,Delivered,Cash
STA-O6277,STA-C7392,25-03-2023,Bakery,1,3.7,Unknown,Starbucks Card
STA-O10940,STA-C5610,26-09-2024,Coffee Beans (Retail),3,10.55,Delivered,Starbucks Card
STA-O8728,STA-C8249,23-09-2024,Hot Coffee,4,6.61,Cancelled,Mobile App
STA-O14788,STA-C4498,11-10-2024,Bakery,1,2.14,Delivered,Cash
STA-O6548,STA-C10067,02-03-2025,Coffee Beans (Retail),4,10.26,Delivered,Mobile App
STA-O13456,STA-C7908,15-10-2024,Frappuccino,1,6.65,Shipped,Cash
STA-O9278,STA-C10388,20-02-2024,Frappuccino,3,7.78,Delivered,Cash
STA-O12544,STA-C2632,01-04-2025,Hot Coffee,1,6.94,Delivered,Starbucks Card
STA-O5440,STA-C2193,02-07-2024,Tea,3,4.35,Delivered,Mobile App
STA-O6494,STA-C6793,20-03-2025,Bakery,1,5.9,Delivered,Starbucks Card
STA-O13649,STA-C1746,13-01-2023,Coffee Beans (Retail),3,19.57,Returned,Credit Card
STA-O12162,STA-C1960,07-01-2025,Hot Coffee,2,3.14,Delivered,Cash
STA-O14683,STA-C10660,13-08-2024,Merchandise,1,11.35,Delivered,Starbucks Card
STA-O10201,STA-C5510,29-11-2023,Sandwiches,5,6.81,Shipped,Starbucks Card
STA-O7710,STA-C9272,27-01-2024,Tea,5,4.8,Delivered,Mobile App
STA-O8025,STA-C1902,09-04-2024,Coffee Beans (Retail),3,20.34,Shipped,Credit Card
STA-O14064,STA-C8242,18-01-2023,Cold Coffee,2,6.07,Pending,Cash
STA-O10183,STA-C2761,01-11-2023,Coffee Beans (Retail),4,14.84,Delivered,Cash
STA-O5769,STA-C6918,05-02-2023,Sandwiches,5,5.91,Delivered,Starbucks Card
STA-O7352,STA-C3071,11-11-2024,Cold Coffee,1,7.13,Delivered,Cash
STA-O7002,STA-C7198,29-11-2025,Bakery,1,4.7,Delivered,Cash
STA-O10210,STA-C6459,03-06-2023,Bakery,2,5.21,Delivered,Starbucks Card
STA-O10449,STA-C3133,25-09-2023,Frappuccino,4,7.86,Delivered,Cash
STA-O11595,STA-C10639,30-07-2025,Hot Coffee,4,3.45,Pending,Cash
STA-O14453,STA-C9982,16-04-2023,Frappuccino,5,6.26,Delivered,Mobile App
STA-O11142,STA-C7661,22-03-2023,Coffee Beans (Retail),5,13.45,Pending,Mobile App
STA-O13298,STA-C1658,15-10-2023,Merchandise,2,28.89,Pending,Mobile App
STA-O14486,STA-C4837,15-11-2023,Hot Coffee,1,4.41,Cancelled,Starbucks Card
STA-O7791,STA-C2221,07-06-2025,Sandwiches,3,6.06,Delivered,Mobile App
STA-O13838,STA-C7464,06-10-2023,Coffee Beans (Retail),4,13.68,Delivered,Cash
STA-O13079,STA-C6327,02-04-2023,Frappuccino,4,8.29,Delivered,Starbucks Card
STA-O14442,STA-C8263,13-11-2023,Cold Coffee,3,5.02,Shipped,Cash
STA-O6461,STA-C1931,12-11-2025,Coffee Beans (Retail),3,15.5,Delivered,Credit Card
STA-O5048,STA-C10478,17-02-2025,Merchandise,1,19.45,Pending,Mobile App
STA-O7572,STA-C3781,08-02-2025,Tea,1,4.38,Cancelled,Starbucks Card
STA-O7330,STA-C5846,31-07-2024,Cold Coffee,3,6.88,Cancelled,Cash
STA-O6460,STA-C3426,07-02-2023,Hot Coffee,1,3.08,Delivered,Starbucks Card
STA-O8803,STA-C2979,16-01-2023,Bakery,4,4.19,Cancelled,Mobile App
STA-O12585,STA-C5383,19-11-2024,Tea,1,4.18,Delivered,Starbucks Card
STA-O5186,STA-C10121,11-10-2025,Tea,5,5.03,Delivered,Starbucks Card
STA-O10860,STA-C2026,12-11-2025,Sandwiches,4,8.99,Delivered,Cash
STA-O14612,STA-C6781,22-06-2024,Sandwiches,2,7.02,Returned,Cash
STA-O7876,STA-C4025,06-05-2024,Cold Coffee,2,6.52,Delivered,Credit Card
STA-O7257,STA-C8968,08-04-2025,Hot Coffee,2,4.39,Cancelled,Cash
STA-O14781,STA-C6095,05-02-2023,Cold Coffee,3,4.75,Delivered,Starbucks Card
STA-O11784,STA-C8879,29-11-2025,Sandwiches,4,7.21,Shipped,Credit Card
STA-O8496,STA-C10130,13-12-2023,Coffee Beans (Retail),3,15.26,Pending,Starbucks Card
STA-O13251,STA-C3320,25-06-2024,Hot Coffee,4,3.75,Delivered,Starbucks Card
STA-O8882,STA-C8716,26-11-2025,Hot Coffee,5,5.9,Cancelled,Cash
STA-O11153,STA-C4580,15-05-2024,Hot Coffee,3,5.39,Delivered,Credit Card
STA-O12164,STA-C3559,12-03-2025,Hot Coffee,2,3.42,Delivered,Starbucks Card
STA-O14132,STA-C10784,24-07-2024,Bakery,1,3.81,Delivered,Mobile App
STA-O10482,STA-C2910,01-12-2023,Cold Coffee,4,7.19,Delivered,Cash
STA-O11704,STA-C10257,18-12-2025,Merchandise,5,29.24,Delivered,Credit Card
STA-O13108,STA-C6709,20-06-2025,Merchandise,2,10.2,Pending,Cash
STA-O11397,STA-C5710,13-01-2025,Hot Coffee,2,4.52,Shipped,Mobile App
STA-O14707,STA-C5054,21-09-2024,Sandwiches,4,7,Delivered,Cash
STA-O12797,STA-C4201,14-12-2023,Coffee Beans (Retail),3,21.05,Pending,Credit Card
STA-O8561,STA-C8685,07-01-2025,Cold Coffee,5,6.16,Unknown,Mobile App
STA-O8427,STA-C9687,09-08-2023,Sandwiches,4,8.03,Shipped,Credit Card
STA-O11956,STA-C4321,04-05-2025,Tea,4,3.97,Shipped,Mobile App
STA-O6384,STA-C4810,03-08-2023,Merchandise,5,27.87,Delivered,Mobile App
STA-O6832,STA-C3571,16-10-2025,Bakery,4,3.46,Shipped,Starbucks Card
STA-O5524,STA-C5872,18-02-2025,Bakery,2,4.11,Returned,Starbucks Card
STA-O10012,STA-C7282,29-03-2025,Cold Coffee,5,4.24,Delivered,Cash
STA-O13647,STA-C2282,17-01-2024,Merchandise,1,9.01,Pending,Credit Card
STA-O11954,STA-C4735,11-09-2024,Tea,1,5.65,Pending,Credit Card
STA-O10037,STA-C9999,24-07-2024,Coffee Beans (Retail),4,20.35,Cancelled,Mobile App
STA-O11923,STA-C8618,04-12-2023,Tea,1,3.12,Delivered,Starbucks Card
STA-O8500,STA-C10343,20-10-2025,Cold Coffee,4,4.77,Cancelled,Cash
STA-O13345,STA-C6268,24-03-2024,Sandwiches,3,5.45,Delivered,Credit Card
STA-O11821,STA-C6496,24-01-2023,Tea,1,3.23,Delivered,Mobile App
STA-O5734,STA-C3833,02-01-2024,Frappuccino,5,8.8,Cancelled,Mobile App
STA-O5037,STA-C6459,17-09-2024,Tea,1,5.47,Shipped,Credit Card
STA-O9095,STA-C9984,01-10-2023,Frappuccino,5,7.94,Delivered,Credit Card
STA-O11401,STA-C7640,20-01-2023,Cold Coffee,3,7.1,Cancelled,Mobile App
STA-O12514,STA-C6155,05-07-2025,Sandwiches,4,6.08,Cancelled,Starbucks Card
STA-O8876,STA-C8001,23-08-2025,Sandwiches,3,6.6,Returned,Credit Card
STA-O12110,STA-C7033,04-03-2023,Sandwiches,5,5.81,Delivered,Cash
STA-O13510,STA-C5542,15-03-2023,Sandwiches,1,6.02,Delivered,Cash
